ID,Scene,Timestamp (s),Name,Filename,Duration (s),Prompt
scene1_001,1,0.00,"BG Glow Init",scene1_001_bg_glow_init.mp3,2.0,"soft ambient hum fading in, gentle electronic warmth, very quiet"
scene1_002,1,0.10,"Hero Cube Appears",scene1_002_hero_cube_appears.mp3,1.0,"gentle metallic whoosh with soft spring bounce, subtle reverb tail"
scene1_003,1,0.27,"Shadow Settles",scene1_003_shadow_settles.mp3,0.5,"quiet low thud, soft landing on surface, minimal"
scene1_004,1,0.43,"Logo Fade In",scene1_004_logo_fade_in.mp3,1.0,"delicate digital chime, soft crystalline tone, ethereal"
scene1_005,1,0.67,"Logo Pulse",scene1_005_logo_pulse.mp3,0.5,"gentle electronic pulse, soft glow sound, brief shimmer"
scene1_006,1,1.37,"Cube Shrinks",scene1_006_cube_shrinks.mp3,0.5,"soft descending tone, gentle compression sound, subtle"
scene1_007,1,1.73,"Grid Ripple Start",scene1_007_grid_ripple_start.mp3,2.0,"quiet cascading pings, soft glass-like tones spreading outward, delicate"
scene1_008,1,2.17,"Grid Complete",scene1_008_grid_complete.mp3,1.0,"gentle settling tone, soft harmonic resolution"
scene1_009,1,2.67,"Wave Glow 1",scene1_009_wave_glow_1.mp3,1.0,"soft shimmer sweep, gentle light passing over surface"
scene1_010,1,2.87,"Wave Glow 2",scene1_010_wave_glow_2.mp3,1.0,"quiet sparkle wave, delicate luminescence sound"
scene1_011,1,2.93,"Particles Appear",scene1_011_particles_appear.mp3,2.0,"very soft whisper texture, gentle floating particles, ambient"
scene1_012,1,3.00,"Final Lightning Pulse",scene1_012_final_lightning_pulse.mp3,1.5,"soft electric charge building, gentle resonant hum, subtle power"
scene2_001,2,3.50,"Wallet Cube Rise",scene2_001_wallet_cube_rise.mp3,1.0,"gentle upward whoosh with soft bounce, subtle spring sound"
scene2_002,2,3.77,"Wallet Icon Appears",scene2_002_wallet_icon_appears.mp3,0.5,"soft UI confirmation tone, delicate interface sound"
scene2_003,2,3.90,"Clasp Reveals",scene2_003_clasp_reveals.mp3,0.3,"tiny metallic ping, soft click, minimal"
scene2_004,2,4.03,"Card Slot 1",scene2_004_card_slot_1.mp3,0.3,"quiet soft click, gentle slot sound"
scene2_005,2,4.07,"Card Slot 2",scene2_005_card_slot_2.mp3,0.3,"quiet soft click, gentle slot sound, slightly different pitch"
scene2_006,2,4.10,"Card Slot 3",scene2_006_card_slot_3.mp3,0.3,"quiet soft click, gentle slot sound, third variation"
scene2_007,2,4.23,"Wallet Glow Pulse",scene2_007_wallet_glow_pulse.mp3,0.5,"soft electronic pulse, gentle neon hum, brief"
scene2_008,2,5.57,"Balance Cube Rise",scene2_008_balance_cube_rise.mp3,1.0,"gentle upward whoosh, soft spring bounce, subtle arrival"
scene2_009,2,5.90,"Icon Container",scene2_009_icon_container.mp3,0.5,"soft fade-in tone, gentle digital appearance"
scene2_010,2,6.03,"SOL Logo Appears",scene2_010_sol_logo_appears.mp3,0.5,"delicate neon chime, soft glowing tone, crystalline"
scene2_011,2,6.37,"Number Fades In",scene2_011_number_fades_in.mp3,0.5,"quiet text reveal, soft ethereal tone"
scene2_012,2,6.70,"Logo Pulse",scene2_012_logo_pulse.mp3,0.3,"gentle glow intensification, soft shimmer"
scene2_013,2,6.87,"Balance Highlight",scene2_013_balance_highlight.mp3,0.5,"soft electronic pulse, gentle cube activation"
scene2_014,2,7.63,"Program Cube Rise",scene2_014_program_cube_rise.mp3,1.0,"gentle upward whoosh, soft mechanical undertone, subtle"
scene2_015,2,7.97,"Program Icon",scene2_015_program_icon.mp3,0.5,"soft tech tone, gentle gear-like sound, minimal"
scene2_016,2,8.10,"Gear Internals",scene2_016_gear_internals.mp3,0.5,"quiet mechanical click, soft inner mechanism"
scene2_017,2,8.30,"Gear Teeth Sequence",scene2_017_gear_teeth_sequence.mp3,0.8,"soft rapid clicking sequence, gentle mechanical teeth, building"
scene2_018,2,8.70,"Brackets Draw",scene2_018_brackets_draw.mp3,0.5,"quiet pen stroke sound, soft drawing line"
scene2_019,2,8.97,"Code Dot 1",scene2_019_code_dot_1.mp3,0.2,"tiny soft beep, minimal digital tone"
scene2_020,2,9.00,"Code Dot 2",scene2_020_code_dot_2.mp3,0.2,"tiny soft beep, slightly higher pitch"
scene2_021,2,9.03,"Code Dot 3",scene2_021_code_dot_3.mp3,0.2,"tiny soft beep, completing sequence"
scene2_022,2,9.53,"All Three Pulse",scene2_022_all_three_pulse.mp3,1.0,"gentle unified resonance, soft triumphant glow, three tones harmonizing"
scene2_023,2,9.20,"Particles Fade In",scene2_023_particles_fade_in.mp3,1.5,"very soft ambient sparkle, gentle floating texture"
scene2_024,2,9.53,"Final Emphasis",scene2_024_final_emphasis.mp3,0.5,"soft electric shimmer, gentle concluding pulse"
scene3_001,3,11.00,"BG Layers Init",scene3_001_bg_layers_init.mp3,2.0,"soft ambient drone beginning, gentle electronic warmth building"
scene3_002,3,11.17,"Hex Grid Fade",scene3_002_hex_grid_fade.mp3,1.0,"delicate crystalline texture, soft grid materializing"
scene3_003,3,11.33,"Hero Box Appears",scene3_003_hero_box_appears.mp3,1.0,"gentle resonant low tone with soft shimmer, subtle materialization"
scene3_004,3,11.67,"Orbit Particles",scene3_004_orbit_particles.mp3,1.5,"quiet sparkle circling, soft orbital movement, ambient"
scene3_005,3,12.67,"Box Rotates",scene3_005_box_rotates.mp3,0.5,"soft whoosh, gentle mechanical turn, subtle"
scene3_006,3,13.00,"Inner Structure",scene3_006_inner_structure.mp3,0.5,"soft UI reveal tone, gentle interior appearing"
scene3_007,3,13.50,"Address Bar",scene3_007_address_bar.mp3,0.5,"quiet neon hum, soft glowing bar sound"
scene3_008,3,13.67,"Bar Fills",scene3_008_bar_fills.mp3,0.5,"gentle data flow ascending, soft filling tone"
scene3_009,3,13.93,"0x Prefix",scene3_009_0x_prefix.mp3,0.2,"tiny soft tech chime, minimal"
scene3_010,3,13.97,"Hex Char 1",scene3_010_hex_char_1.mp3,0.1,"quiet keystroke, soft typing sound"
scene3_011,3,14.00,"Hex Char 2",scene3_011_hex_char_2.mp3,0.1,"quiet keystroke, soft typing"
scene3_012,3,14.03,"Hex Char 3",scene3_012_hex_char_3.mp3,0.1,"quiet keystroke"
scene3_013,3,14.07,"Hex Char 4",scene3_013_hex_char_4.mp3,0.1,"quiet keystroke"
scene3_014,3,14.10,"Hex Char 5",scene3_014_hex_char_5.mp3,0.1,"quiet keystroke"
scene3_015,3,14.13,"Hex Char 6",scene3_015_hex_char_6.mp3,0.1,"quiet keystroke"
scene3_016,3,14.17,"Cursor Blink",scene3_016_cursor_blink.mp3,0.2,"very soft pulse tone, gentle cursor"
scene3_017,3,14.33,"Data Layer Appears",scene3_017_data_layer_appears.mp3,0.5,"soft whoosh overlay, gentle layer revealing"
scene3_018,3,14.67,"Data Blocks In",scene3_018_data_blocks_in.mp3,0.8,"quiet sequential block sounds, soft stacking"
scene3_019,3,14.83,"Circuit Lines Draw",scene3_019_circuit_lines_draw.mp3,0.5,"soft electronic line drawing, gentle oscilloscope tone"
scene3_020,3,15.00,"Content Lines",scene3_020_content_lines.mp3,0.3,"quiet lighter line drawing sound"
scene3_021,3,15.17,"Binary Bits",scene3_021_binary_bits.mp3,0.5,"soft digital bleeps, gentle bit sounds, staccato"
scene3_022,3,15.33,"Data Flow Beziers",scene3_022_data_flow_beziers.mp3,1.0,"gentle flowing stream sound, soft data moving"
scene3_023,3,15.50,"Hero Pulse",scene3_023_hero_pulse.mp3,0.5,"soft resonant glow tone, gentle"
scene3_024,3,16.00,"Box Transitions",scene3_024_box_transitions.mp3,0.5,"soft reverse materialization, gentle shrinking"
scene3_025,3,16.50,"Comparison Reveals",scene3_025_comparison_reveals.mp3,0.5,"gentle dramatic reveal, soft unveiling tone"
scene3_026,3,16.83,"Exec Box Halo",scene3_026_exec_box_halo.mp3,1.0,"soft multi-ring activation, gentle concentric expansion, power building quietly"
scene3_027,3,16.93,"Glow Rays",scene3_027_glow_rays.mp3,0.5,"quiet radiating beam sounds, soft light spreading"
scene3_028,3,17.33,"Code Brackets",scene3_028_code_brackets.mp3,0.5,"soft pen drawing strokes, gentle"
scene3_029,3,17.50,"Code Lines Inside",scene3_029_code_lines_inside.mp3,0.3,"quiet rapid staccato lines, soft drawing"
scene3_030,3,18.33,"Data Boxes Pop",scene3_030_data_boxes_pop.mp3,1.0,"gentle cascade of six soft box sounds, quiet staggered appearance"
scene3_031,3,18.83,"Divider Draws",scene3_031_divider_draws.mp3,0.3,"soft sharp line sound, gentle division"
scene3_032,3,19.00,"Connection Beziers",scene3_032_connection_beziers.mp3,0.8,"gentle flowing connection sounds, soft cable-like data flow"
scene3_033,3,19.33,"Exec Emphasis",scene3_033_exec_emphasis.mp3,0.5,"soft electric charge, gentle power emphasis"
scene3_034,3,19.60,"Final Exec Pulse",scene3_034_final_exec_pulse.mp3,1.0,"gentle resonant hum, soft sustained power tone"
scene4_001,4,20.33,"Program Box Appears",scene4_001_program_box_appears.mp3,1.0,"gentle deep resonant tone, soft materialization"
scene4_002,4,20.67,"Brain Emphasized",scene4_002_brain_emphasized.mp3,0.8,"soft building electrical energy, gentle tension rising"
scene4_003,4,21.17,"Shatter Impact",scene4_003_shatter_impact.mp3,1.0,"glass shattering gently, soft crystalline break with subtle tonal burst, not harsh"
scene4_004,4,21.17,"Flash Effect",scene4_004_flash_effect.mp3,0.3,"soft bright flash tone, gentle burst of light sound"
scene4_005,4,21.33,"Shards Flying",scene4_005_shards_flying.mp3,0.8,"quiet whooshing fragments, soft pieces dispersing"
